N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
63982;11/17/2016 6:20:28 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-0459SIEMENS5;Italy;Europe;DFURCAS;DELL;SERVER;HDD problem;11/21/2016 3:00:00 PM;apogeo;tecnici apogeo;H+4 SITE 24;11/21/2016 6:57:16 PM;C;CALL;11/22/2016 6:00:43 PM;OK;;;OK
63973;11/17/2016 4:53:21 PM;FPARISI;CLOSED;FABBRICA DIGITALE;FABBRICA DIGITALE;N/C;Italy;Europe;FPARISI;DELL;SERVER;HDD problem;11/18/2016 7:00:00 PM;IB ITALIA DCS;Vincenzo Chieppa;J+1;11/19/2016 4:18:47 PM;C;CALL;11/23/2016 3:20:57 PM;OK;;BD4Q25J;OK
63972;11/17/2016 4:51:45 PM;FPARISI;CLOSED;HP - SPM;TELECOM ROZZANO;5315045918;Italy;Europe;DFURCAS;IBM;SERVER;TO BE DEFINED problem;11/18/2016 7:00:00 PM;IB ITALIA DCS;Vincenzo Chieppa;H+8;11/21/2016 1:50:41 PM;C;CALL;11/18/2016 5:55:08 PM;OK;;;OK
63970;11/17/2016 4:35:22 PM;FPARISI;PLANNING;HP - SPM;TELECOM POMEZIA;5315013640;Italy;Europe;FPARISI;HP;NETWORK;POWER problem;11/25/2016 6:00:00 PM;IB ITALIA DCS;Roberto Vaudi;H+8;11/21/2016 2:04:57 PM;O;CALL;;NOK;;;NOK
63969;11/17/2016 4:26:50 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KINFRAC-6983-ASS279;Italy;Europe;DFURCAS;IBM;SERVER;HDD problem;11/18/2016 4:00:00 PM;apogeo;balconi / del frate;J+1;11/19/2016 3:57:03 PM;C;CALL;11/18/2016 4:05:02 PM;OK;;;OK
63968;11/17/2016 4:12:01 PM;FPARISI;CLOSED;SELEX GALILEO - SELEX GALILEO;SELEX GALILEO;N/C;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;POWER problem;11/21/2016 4:00:00 PM;TNT;Corriere;H+4 SITE;11/21/2016 1:52:23 PM;C;CALL;11/21/2016 10:07:58 AM;OK;;212Z03A3;OK
63966;11/17/2016 3:31:59 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KCSI-2015000248-PIEM000001049109;Italy;Europe;DFURCAS;SUN / ORACLE;SERVER;POWER problem;11/18/2016 3:00:00 PM;apogeo;tecnici apogeo;H+4 SITE 24;11/18/2016 6:57:48 PM;C;CALL;11/18/2016 4:06:27 PM;OK;;;OK
63965;11/17/2016 3:27:01 PM;SADDOLORATO;CLOSED;INFORDATA;I.C.E. ROMA;;Italy;Europe;SADDOLORATO;SUN / ORACLE;SERVER;Memory problem;11/18/2016 5:00:00 PM;IB Italia DCS;Roberto Vaudi;BEST_EFFORT;11/25/2016 5:00:04 PM;C;CALL;11/18/2016 6:16:35 PM;OK;;;OK
63958;11/17/2016 2:25:32 PM;SADDOLORATO;CLOSED;HP - PO CROSS;H3G MILANO;5315010477;Italy;Europe;SADDOLORATO;HP;SERVER;TO BE DEFINED problem;11/21/2016 10:00:00 AM;IB Italia DCS;Leonardo Durante;BEST_EFFORT;11/28/2016 9:55:33 AM;C;CALL;11/21/2016 12:54:42 PM;OK;;;OK
63947;11/17/2016 1:04:47 PM;DFURCAS;CLOSED;TPR;TPR;NC;Italy;Europe;DFURCAS;STORAGETEK;SERVER;TO BE DEFINED problem;;;;J+1;11/19/2016 10:13:23 AM;C;CALL;11/18/2016 10:16:30 AM;OK;;;OK
63942;11/17/2016 12:16:41 PM;DFURCAS;PLANNING;APRA - CANTORI SRL UNIPERSONALE;APRA - CANTORI SRL UNIPERSONALE;NC;Italy;Europe;DFURCAS;IBM;SERVER;TO BE DEFINED problem;11/25/2016 3:00:00 PM;cruciani;cruciani;J+1;11/19/2016 8:57:41 AM;O;CALL;;OK;;6809442;OK
63940;11/17/2016 12:05:05 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KCOMUNE-2511753-CASTELFCESARIO3;Italy;Europe;DFURCAS;HP;SERVER;POWER problem;11/18/2016 4:00:00 PM;apogeo;tecnici apogeo;H+4 SITE 24;11/18/2016 7:29:31 PM;C;CALL;11/18/2016 4:07:48 PM;OK;;;OK
63939;11/17/2016 11:23:10 AM;FPARISI;DIAGNOSTIC;HP - SPM;MOTORIZZAZIONE CIVILE;5315013389;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;TO BE DEFINED problem;11/23/2016 7:00:00 PM;IB ITALIA DCS;Roberto Vaudi;J+1;11/23/2016 8:15:03 PM;O;CALL;;OK;;0625AL19EB;OK
63930;11/17/2016 10:24:21 AM;SADDOLORATO;CLOSED;HP - SPM;TELECOM MILANO;5315003081;Italy;Europe;SADDOLORATO;IBM;SERVER;HDD problem;;;;BEST_EFFORT;11/24/2016 10:24:21 AM;C;CALL;11/19/2016 7:07:25 PM;OK;;;OK
63929;11/17/2016 10:23:11 AM;FPARISI;CLOSED;FLEXTRONICS DESIGN;FLEXTRONICS DESIGN;N/C;Italy;Europe;FPARISI;DELL;SERVER;Memory problem;11/21/2016 5:00:00 PM;IB ITALIA DCS;Vincenzo Chieppa;H+4 SITE;11/22/2016 9:30:29 AM;C;CALL;11/21/2016 2:41:13 PM;OK;;C9DJZ4J;OK
